MA,RSI,MACD,WILLR,KDJ,Gross Profit,Gross Loss,Profit Factor,Count
10,10,"(12,26,9)",20,"(9,3,3)",12.97000885009767,0.060001373291015625,216.16186661580545,10
10,10,"(12,26,9)",10,"(9,3,3)",12.97000885009767,0.060001373291015625,216.16186661580545,10
10,10,"(12,26,9)",5,"(9,3,3)",12.97000885009767,0.060001373291015625,216.16186661580545,10
10,20,"(12,26,9)",5,"(9,3,3)",12.97000885009767,0.060001373291015625,216.16186661580545,10
10,20,"(12,26,9)",20,"(9,3,3)",12.97000885009767,0.060001373291015625,216.16186661580545,10
10,20,"(12,26,9)",10,"(9,3,3)",12.97000885009767,0.060001373291015625,216.16186661580545,10
20,10,"(12,26,9)",10,"(9,3,3)",12.97000885009767,0.060001373291015625,216.16186661580545,10
10,5,"(12,26,9)",5,"(9,3,3)",12.97000885009767,0.060001373291015625,216.16186661580545,10
10,5,"(12,26,9)",20,"(9,3,3)",12.97000885009767,0.060001373291015625,216.16186661580545,10
10,5,"(12,26,9)",10,"(9,3,3)",12.97000885009767,0.060001373291015625,216.16186661580545,10
5,5,"(12,26,9)",10,"(9,3,3)",12.97000885009767,0.060001373291015625,216.16186661580545,10
5,5,"(12,26,9)",20,"(9,3,3)",12.97000885009767,0.060001373291015625,216.16186661580545,10
5,20,"(12,26,9)",5,"(9,3,3)",12.97000885009767,0.060001373291015625,216.16186661580545,10
5,20,"(12,26,9)",20,"(9,3,3)",12.97000885009767,0.060001373291015625,216.16186661580545,10
20,5,"(12,26,9)",10,"(9,3,3)",12.97000885009767,0.060001373291015625,216.16186661580545,10
20,5,"(12,26,9)",20,"(9,3,3)",12.97000885009767,0.060001373291015625,216.16186661580545,10
20,5,"(12,26,9)",5,"(9,3,3)",12.97000885009767,0.060001373291015625,216.16186661580545,10
20,20,"(12,26,9)",5,"(9,3,3)",12.97000885009767,0.060001373291015625,216.16186661580545,10
20,20,"(12,26,9)",10,"(9,3,3)",12.97000885009767,0.060001373291015625,216.16186661580545,10
20,20,"(12,26,9)",20,"(9,3,3)",12.97000885009767,0.060001373291015625,216.16186661580545,10
20,10,"(12,26,9)",5,"(9,3,3)",12.97000885009767,0.060001373291015625,216.16186661580545,10
20,10,"(12,26,9)",20,"(9,3,3)",12.97000885009767,0.060001373291015625,216.16186661580545,10
5,5,"(12,26,9)",5,"(9,3,3)",12.97000885009767,0.060001373291015625,216.16186661580545,10
5,10,"(12,26,9)",5,"(9,3,3)",12.97000885009767,0.060001373291015625,216.16186661580545,10
5,10,"(12,26,9)",20,"(9,3,3)",12.97000885009767,0.060001373291015625,216.16186661580545,10
5,10,"(12,26,9)",10,"(9,3,3)",12.97000885009767,0.060001373291015625,216.16186661580545,10
5,20,"(12,26,9)",10,"(9,3,3)",12.97000885009767,0.060001373291015625,216.16186661580545,10
20,10,"(24,52,9)",20,"(9,3,3)",10.950004577636726,0.7399978637695312,14.797346200241265,7
20,10,"(24,52,9)",10,"(9,3,3)",10.950004577636726,0.7399978637695312,14.797346200241265,7
10,5,"(24,52,9)",5,"(9,3,3)",10.950004577636726,0.7399978637695312,14.797346200241265,7
10,20,"(24,52,9)",10,"(9,3,3)",10.950004577636726,0.7399978637695312,14.797346200241265,7
