MA,RSI,MACD,WILLR,KDJ,Gross Profit,Gross Loss,Profit Factor,Count
10,10,"(48,104,9)",5,"(18,3,3)",13.987683024255507,0.29502992196672295,47.41106573533652,16
10,10,"(48,104,9)",20,"(18,3,3)",13.987683024255507,0.29502992196672295,47.41106573533652,16
10,20,"(48,104,9)",20,"(18,3,3)",13.987683024255507,0.29502992196672295,47.41106573533652,16
10,20,"(48,104,9)",10,"(18,3,3)",13.987683024255507,0.29502992196672295,47.41106573533652,16
10,10,"(48,104,9)",10,"(18,3,3)",13.987683024255507,0.29502992196672295,47.41106573533652,16
5,10,"(48,104,9)",10,"(18,3,3)",13.987683024255507,0.29502992196672295,47.41106573533652,16
5,10,"(48,104,9)",20,"(18,3,3)",13.987683024255507,0.29502992196672295,47.41106573533652,16
5,10,"(48,104,9)",5,"(18,3,3)",13.987683024255507,0.29502992196672295,47.41106573533652,16
20,20,"(48,104,9)",20,"(18,3,3)",13.987683024255507,0.29502992196672295,47.41106573533652,16
20,20,"(48,104,9)",5,"(18,3,3)",13.987683024255507,0.29502992196672295,47.41106573533652,16
20,10,"(48,104,9)",10,"(18,3,3)",13.987683024255507,0.29502992196672295,47.41106573533652,16
20,10,"(48,104,9)",20,"(18,3,3)",13.987683024255507,0.29502992196672295,47.41106573533652,16
5,5,"(48,104,9)",10,"(18,3,3)",13.987683024255507,0.29502992196672295,47.41106573533652,16
5,5,"(48,104,9)",5,"(18,3,3)",13.987683024255507,0.29502992196672295,47.41106573533652,16
5,5,"(48,104,9)",20,"(18,3,3)",13.987683024255507,0.29502992196672295,47.41106573533652,16
5,20,"(48,104,9)",10,"(18,3,3)",13.987683024255507,0.29502992196672295,47.41106573533652,16
5,20,"(48,104,9)",5,"(18,3,3)",13.987683024255507,0.29502992196672295,47.41106573533652,16
5,20,"(48,104,9)",20,"(18,3,3)",13.987683024255507,0.29502992196672295,47.41106573533652,16
20,5,"(48,104,9)",20,"(18,3,3)",13.987683024255507,0.29502992196672295,47.41106573533652,16
20,5,"(48,104,9)",10,"(18,3,3)",13.987683024255507,0.29502992196672295,47.41106573533652,16
20,5,"(48,104,9)",5,"(18,3,3)",13.987683024255507,0.29502992196672295,47.41106573533652,16
20,20,"(48,104,9)",10,"(18,3,3)",13.987683024255507,0.29502992196672295,47.41106573533652,16
10,5,"(48,104,9)",20,"(18,3,3)",13.987683024255507,0.29502992196672295,47.41106573533652,16
10,5,"(48,104,9)",5,"(18,3,3)",13.987683024255507,0.29502992196672295,47.41106573533652,16
10,5,"(48,104,9)",10,"(18,3,3)",13.987683024255507,0.29502992196672295,47.41106573533652,16
10,20,"(48,104,9)",5,"(18,3,3)",13.987683024255507,0.29502992196672295,47.41106573533652,16
20,10,"(48,104,9)",5,"(18,3,3)",13.987683024255507,0.29502992196672295,47.41106573533652,16
20,10,"(48,104,9)",5,"(9,3,3)",12.513615931674195,0.4417853068142428,28.32510664945176,16
20,20,"(48,104,9)",10,"(9,3,3)",12.513615931674195,0.4417853068142428,28.32510664945176,16
10,20,"(48,104,9)",10,"(9,3,3)",12.513615931674195,0.4417853068142428,28.32510664945176,16
10,20,"(48,104,9)",20,"(9,3,3)",12.513615931674195,0.4417853068142428,28.32510664945176,16
10,10,"(48,104,9)",20,"(9,3,3)",12.513615931674195,0.4417853068142428,28.32510664945176,16
10,10,"(48,104,9)",5,"(9,3,3)",12.513615931674195,0.4417853068142428,28.32510664945176,16
10,10,"(48,104,9)",10,"(9,3,3)",12.513615931674195,0.4417853068142428,28.32510664945176,16
20,5,"(48,104,9)",20,"(9,3,3)",12.513615931674195,0.4417853068142428,28.32510664945176,16
20,5,"(48,104,9)",5,"(9,3,3)",12.513615931674195,0.4417853068142428,28.32510664945176,16
20,5,"(48,104,9)",10,"(9,3,3)",12.513615931674195,0.4417853068142428,28.32510664945176,16
5,10,"(48,104,9)",10,"(9,3,3)",12.513615931674195,0.4417853068142428,28.32510664945176,16
5,10,"(48,104,9)",5,"(9,3,3)",12.513615931674195,0.4417853068142428,28.32510664945176,16
5,10,"(48,104,9)",20,"(9,3,3)",12.513615931674195,0.4417853068142428,28.32510664945176,16
5,20,"(48,104,9)",5,"(9,3,3)",12.513615931674195,0.4417853068142428,28.32510664945176,16
5,20,"(48,104,9)",10,"(9,3,3)",12.513615931674195,0.4417853068142428,28.32510664945176,16
5,5,"(48,104,9)",10,"(9,3,3)",12.513615931674195,0.4417853068142428,28.32510664945176,16
5,20,"(48,104,9)",20,"(9,3,3)",12.513615931674195,0.4417853068142428,28.32510664945176,16
5,5,"(48,104,9)",20,"(9,3,3)",12.513615931674195,0.4417853068142428,28.32510664945176,16
5,5,"(48,104,9)",5,"(9,3,3)",12.513615931674195,0.4417853068142428,28.32510664945176,16
10,5,"(48,104,9)",5,"(9,3,3)",12.513615931674195,0.4417853068142428,28.32510664945176,16
